SN,day,time,datetime,A_Indep_Front,A_RollSpeed_Front,A_R2R2W_Front,A_R2R2W_RollSpeed_Front,KM_Front,KM_DEV_Front,A_Indep_Rear,A_RollSpeed_Rear,A_R2R2W_Rear,A_R2R2W_RollSpeed_Rear,KM_Rear,KM_DEV_Rear
DRW471710051,20171123,130736,20171123130736,0.267813,0.000330,79.500173,0.0,0.01305,0.013683,0.38155100000000003,0.000304,81.25626899999999,0.0,0.012889,0.033467000000000004
DRW471710081,20171124,144832,20171124144832,0.421102,0.000235,84.102246,0.0,0.013028,0.045597000000000006,0.40113499999999996,0.000286,85.622642,0.0,0.012822,0.035525
DRW471710091,20171124,152443,20171124152443,0.438688,0.000257,69.305595,0.0,0.012981,0.048208999999999995,0.417729,0.00025299999999999997,80.943991,0.0,0.013018,0.051286
DRW471710101,20171127,82825,20171127082825,0.294145,0.000250,94.452298,0.0,0.012778,0.038765,0.397032,0.00022,99.589313,0.0,0.012855000000000002,0.026373
DRW471710111,20171127,92021,20171127092021,0.275518,0.000246,81.624572,0.0,0.012643999999999999,0.028218,0.29920399999999997,0.00028900000000000003,77.221181,0.0,0.013064,0.023776
DRW481710011,20171127,120024,20171127120024,0.342421,0.000293,118.855435,0.0,0.012490000000000001,0.060654999999999994,0.368656,0.000248,87.99755,0.0,0.012872999999999999,0.032399000000000004
DRW481710021,20171127,150040,20171127150040,0.360324,0.000241,104.845669,0.0,0.012643999999999999,0.043982,0.442346,0.00039,75.686751,0.0,0.012651,0.060020000000000004
DRW481710031,20171127,155228,20171127155228,0.326179,0.000296,97.791004,0.0,0.012726000000000001,0.023058000000000002,0.5294409999999999,0.00028,58.245568000000006,0.0,0.012913999999999998,0.057569
DRW481710041,20171127,170629,20171127170629,0.345977,0.000298,73.371293,0.0,0.0127,0.045292,0.433069,0.000314,84.933994,0.0,0.012768999999999999,0.064215
DRW481710061,20171128,141008,20171128141008,0.449296,0.000325,81.191294,0.0,0.012651,0.059588,0.44008,0.000324,116.094765,0.0,0.01285,0.056025
DRW481710081,20171129,80637,20171129080637,0.345860,0.000307,69.942087,0.0,0.012706,0.061959,0.331615,0.00033,77.810156,0.0,0.012345,0.11583099999999999
DRW481710051,20171129,85157,20171129085157,0.553370,0.000219,93.563311,0.0,0.012903,0.065916,0.38203400000000004,0.00028199999999999997,95.107244,0.0,0.012893,0.048391
DRW481710071,20171129,103431,20171129103431,0.442617,0.000249,64.132447,0.0,0.012706,0.06612699999999999,0.349672,0.00032,101.078436,0.0,0.012711,0.031798
DRW481710111,20171130,81651,20171130081651,0.316538,0.000290,84.840731,0.0,0.012525,0.025438,0.34429899999999997,0.000298,88.66045,0.0,0.012706,0.036289
DRW481710131,20171130,95024,20171130095024,0.428620,0.000285,69.118184,0.0,0.013077000000000002,0.018808000000000002,0.47093,0.000339,88.966431,0.0,0.013094,0.058539
DRW481710121,20171130,111422,20171130111422,0.362150,0.000278,91.812628,0.0,0.012565999999999999,0.029733,0.49587200000000003,0.000267,114.63768700000001,0.0,0.012785,0.052146000000000005
DRW411710381,20171130,121350,20171130121350,0.284616,0.000284,108.046246,0.0,0.012883000000000002,0.012721,0.422037,0.000286,66.791124,0.0,0.012938,0.098457
DRW481710141,20171130,152349,20171130152349,0.383525,0.000246,78.558585,0.0,0.012983000000000001,0.049906,0.486691,0.00025699999999999996,72.25842800000001,0.0,0.013019,0.057
DRW481710161,20171204,101935,20171204101935,0.396251,0.000234,74.000602,0.0,0.012953000000000001,0.052,0.310356,0.000281,93.504081,0.0,0.013096,0.036117
DRW471710061,20171204,104913,20171204104913,0.394092,0.000280,91.403550,0.0,0.012847999999999998,0.050286000000000004,0.465193,0.00023999999999999998,103.973035,0.0,0.013227000000000001,0.057086000000000005
DRW411710011,20171204,164004,20171204164004,0.352502,0.000922,92.140930,0.0,0.041007999999999996,0.044199,0.342623,0.000709,82.957999,0.0,0.040637,0.07357999999999999
DRW481710171,20171204,170015,20171204170015,0.326194,0.000795,69.558092,0.0,0.041486,0.015425999999999999,0.290571,0.000695,93.484965,0.0,0.041385000000000005,0.046187
DRW491710011,20171205,80015,20171205080015,0.376862,0.000746,65.971199,0.0,0.042167,0.020735,0.267552,0.0008150000000000001,113.705271,0.0,0.041614,0.014726
DRW491710021,20171205,85020,20171205085020,0.264273,0.000922,113.377965,0.0,0.040628,0.026075,0.402951,0.000786,64.632801,0.0,0.041777,0.052039
DRW491710031,20171205,102804,20171205102804,0.414228,0.000559,60.273610,0.0,0.041223,0.018362,0.412847,0.0010199999999999999,127.493703,0.0,0.042527999999999996,0.035701
DRW491710041,20171205,112401,20171205112401,0.352382,0.000824,92.687804,0.0,0.042213,0.012514,0.437802,0.000705,103.640866,0.0,0.042225,0.061284000000000005
DRW491710051,20171205,130901,20171205130901,0.401678,0.000745,54.982115,0.0,0.041564,0.019818000000000002,0.348829,0.000951,82.798765,0.0,0.0417,0.07449
DRW491710061,20171205,140142,20171205140142,0.352062,0.000837,56.040391,0.0,0.041767,0.038512,0.464153,0.000837,105.266901,0.0,0.042378,0.050651999999999996
DRW491710071,20171205,150107,20171205150107,0.532713,0.000916,74.119060,0.0,0.041322000000000005,0.026874000000000002,0.38059699999999996,0.000586,106.08815200000001,0.0,0.041024,0.04421
DRW491710081,20171205,155843,20171205155843,0.366068,0.000824,67.077435,0.0,0.041014999999999996,0.0226,0.48611899999999997,0.000594,85.674025,0.0,0.040654,0.033041
DRW491710091,20171205,170926,20171205170926,0.406933,0.000657,81.386219,0.0,0.040415,0.048234,0.39118600000000003,0.000681,85.020075,0.0,0.040912000000000004,0.049048
DRW491710101,20171206,83345,20171206083345,0.404927,0.000636,131.606032,0.0,0.040320999999999996,0.04397,0.344936,0.000786,118.39773600000001,0.0,0.040757,0.017891
DRW481710091,20171206,91138,20171206091138,0.297362,0.000659,99.116475,0.0,0.040875,0.030777999999999996,0.29888200000000004,0.001024,104.17017,0.0,0.040323000000000005,0.041617
DRW491710111,20171206,100948,20171206100948,0.334810,0.000758,113.947491,0.0,0.041412,0.026064999999999998,0.3961,0.000524,106.412034,0.0,0.041194999999999996,0.028997000000000002
DRW491710121,20171206,104042,20171206104042,0.343015,0.000576,123.307226,0.0,0.041208,0.024781,0.387102,0.000722,96.729854,0.0,0.041451999999999996,0.021874
DRW491710131,20171206,114031,20171206114031,0.410694,0.000728,84.076499,0.0,0.040333999999999995,0.020253,0.42385200000000006,0.000762,100.84527800000001,0.0,0.041132999999999996,0.040378
DRW491710141,20171206,134034,20171206134034,0.380384,0.000741,120.959612,0.0,0.040179,0.019303999999999998,0.366096,0.000463,93.573145,0.0,0.040707,0.036978
DRW491710151,20171206,141759,20171206141759,0.378547,0.000642,118.530117,0.0,0.041425,0.003735,0.395057,0.0004940000000000001,93.471153,0.0,0.040837,0.042486
DRW411710031,20171206,150311,20171206150311,0.352668,0.000816,94.670540,0.0,0.041661000000000004,0.024033000000000002,0.308963,0.000729,115.36103200000001,0.0,0.041562,0.06552100000000001
DRW481710101,20171206,161823,20171206161823,0.430414,0.000816,94.480698,0.0,0.040777999999999995,0.017399,0.412523,0.000603,107.397821,0.0,0.040706,0.043224
DRW411710391,20171207,80524,20171207080524,0.357094,0.000764,89.845253,0.0,0.040905000000000004,0.043654000000000005,0.352605,0.00045,116.88385900000002,0.0,0.041166,0.045523
DRW471710071,20171207,85542,20171207085542,0.398381,0.000874,94.558381,0.0,0.040768,0.056139,0.33123400000000003,0.000734,123.07240900000001,0.0,0.040886,0.006311
DRW491710171,20171207,113548,20171207113548,0.411701,0.000759,97.234627,0.0,0.042345999999999995,0.024645,0.36812,0.00040599999999999995,110.87266499999998,0.0,0.041966,0.038310000000000004
DRW491710181,20171207,121343,20171207121343,0.415237,0.000475,101.296346,0.0,0.042359,0.032560000000000006,0.328953,0.000733,74.16757,0.0,0.041779000000000004,0.031289
DRW491710201,20171207,150318,20171207150318,0.387900,0.000592,113.490455,0.0,0.042522000000000004,0.040539,0.44021899999999997,0.000852,60.366321,0.0,0.04189,0.03992
DRW491710211,20171207,163823,20171207163823,0.392050,0.000584,107.702365,0.0,0.042492,0.049529000000000004,0.400512,0.000741,98.811379,0.0,0.042088,0.030955
DRW491710221,20171208,81725,20171208081725,0.311662,0.000574,90.693023,0.0,0.041453,0.013113999999999999,0.410008,0.000722,82.267361,0.0,0.042166,0.059335
DRW491710231,20171208,95643,20171208095643,0.327863,0.000661,95.204264,0.0,0.041397,0.019696,0.49743000000000004,0.000715,72.207155,0.0,0.042569,0.057427
DRW491710241,20171208,105044,20171208105044,0.341168,0.000552,122.707311,0.0,0.042165,0.02217,0.363009,0.000519,103.747721,0.0,0.042537,0.038903
