SN,day,time,datetime,TR_PWM_SLOP_FRONT,TR_PWM_OFFSET_FRONT,R2_Front,TR_AccuENC_RATIO_FRONT,TR_PWM_SLOP_REAR,TR_PWM_OFFSET_REAR,R2_Rear,TR_AccuENC_RATIO_REAR
DRW511710321,20171222,115041,20171222115041,1.352746,-33.026093,0.999994,9.074713000000001,1.351774,-46.05575,0.9999809999999999,9.176507
DRW511710331,20171222,143841,20171222143841,1.361885,-32.568945,0.999994,9.075409,1.367583,-48.212443,1.0,9.173724
DRW511710341,20171222,150714,20171222150714,1.351771,-33.742930,1.000000,9.075718,1.373362,-42.481719,0.9999950000000001,9.175833
DRW511710351,20171222,154718,20171222154718,1.346166,-40.145041,0.999988,9.073538000000001,1.37353,-47.264423,0.999977,9.177984
DRW501710311,20171222,164844,20171222164844,1.360302,-32.731571,0.999997,9.075209,1.361683,-40.111115999999996,0.999975,9.178448
DRW511710361,20171226,80839,20171226080839,1.358098,-33.543730,0.999969,9.073929,1.372568,-39.943222,0.999999,9.17784
DRW511710371,20171226,84615,20171226084615,1.353742,-37.630071,0.999996,9.075682,1.373869,-41.596005,0.999999,9.175272999999999
DRW521710011,20171226,104122,20171226104122,1.349111,-37.884845,0.999983,9.075588,1.361047,-47.675302,0.999999,9.176865
DRW521710021,20171226,113340,20171226113340,1.354304,-35.913819,0.999998,9.075545,1.365617,-42.889031,1.0,9.178317
DRW521710031,20171226,121502,20171226121502,1.368821,-30.012562,0.999994,9.075061999999999,1.358874,-44.726424,0.999975,9.175958999999999
DRW521710041,20171226,143831,20171226143831,1.373649,-54.710910,0.999920,9.075797,1.34277,-43.08802,0.9999950000000001,9.177627000000001
DRW521710051,20171226,150207,20171226150207,1.372742,-31.429117,0.999999,9.075925,1.371995,-48.246573,0.999999,9.179780000000001
DRW521710061,20171226,163632,20171226163632,1.342052,-42.792430,1.000000,9.076409,1.349199,-49.769528,0.9999889999999999,9.177819
DRW521710071,20171227,80214,20171227080214,1.361113,-31.921987,0.999993,9.075275999999999,1.36458,-45.635726,1.0,9.177724000000001
